index,screen,png,jpg,deep_link
38,limit-order,screens/38-limit-order.png,screens/38-limit-order.jpg,../../bitbt-wallet-ui-app.html?screen=limit-order
39,split-order,screens/39-split-order.png,screens/39-split-order.jpg,../../bitbt-wallet-ui-app.html?screen=split-order
40,copy-trade,screens/40-copy-trade.png,screens/40-copy-trade.jpg,../../bitbt-wallet-ui-app.html?screen=copy-trade
41,trade-settings,screens/41-trade-settings.png,screens/41-trade-settings.jpg,../../bitbt-wallet-ui-app.html?screen=trade-settings
42,my-meme,screens/42-my-meme.png,screens/42-my-meme.jpg,../../bitbt-wallet-ui-app.html?screen=my-meme
43,settings,screens/43-settings.png,screens/43-settings.jpg,../../bitbt-wallet-ui-app.html?screen=settings
44,address-book,screens/44-address-book.png,screens/44-address-book.jpg,../../bitbt-wallet-ui-app.html?screen=address-book
45,help,screens/45-help.png,screens/45-help.jpg,../../bitbt-wallet-ui-app.html?screen=help
46,asset-detail,screens/46-asset-detail.png,screens/46-asset-detail.jpg,../../bitbt-wallet-ui-app.html?screen=asset-detail
47,send-confirm,screens/47-send-confirm.png,screens/47-send-confirm.jpg,../../bitbt-wallet-ui-app.html?screen=send-confirm
48,tx-detail,screens/48-tx-detail.png,screens/48-tx-detail.jpg,../../bitbt-wallet-ui-app.html?screen=tx-detail
49,dapp-detail,screens/49-dapp-detail.png,screens/49-dapp-detail.jpg,../../bitbt-wallet-ui-app.html?screen=dapp-detail
50,nft-detail,screens/50-nft-detail.png,screens/50-nft-detail.jpg,../../bitbt-wallet-ui-app.html?screen=nft-detail
51,security,screens/51-security.png,screens/51-security.jpg,../../bitbt-wallet-ui-app.html?screen=security
52,approvals,screens/52-approvals.png,screens/52-approvals.jpg,../../bitbt-wallet-ui-app.html?screen=approvals
53,launch-success,screens/53-launch-success.png,screens/53-launch-success.jpg,../../bitbt-wallet-ui-app.html?screen=launch-success
